"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Int","Rat"
"LAR",145,"Cooper Kupp*+",28,"WR",191,1947,16,5,"124.8"
"GNB",123,"Davante Adams*+",29,"WR",169,1553,11,3,"115.3"
"KAN",111,"Tyreek Hill*",27,"WR",159,1239,9,3,"103.7"
"MIN",108,"Justin Jefferson*",22,"WR",167,1616,10,2,"111.3"
"BAL",107,"Mark Andrews*+",26,"TE",153,1361,9,9,"92.5"
"PIT",107,"Diontae Johnson*",25,"WR",169,1161,8,3,"91.9"
"LAC",106,"Keenan Allen*",29,"WR",157,1138,6,5,"88"
"MIA",104,"Jaylen Waddle",23,"WR",140,1015,6,7,"87.6"
"BUF",103,"Stefon Diggs*",28,"WR",164,1225,10,6,"90.6"
"LVR",103,"Hunter Renfrow*",26,"WR",128,1038,9,1,"120.6"
"TAM",98,"Chris Godwin",25,"WR",127,1103,5,2,"109.1"
"CAR",93,"D.J. Moore",24,"WR",163,1157,4,6,"72"
"HOU",90,"Brandin Cooks",28,"WR",134,1037,6,3,"95.9"
"DET",90,"Amon-Ra St. Brown",22,"WR",119,912,5,2,"104"
"IND",88,"Michael Pittman Jr.",24,"WR",129,1082,6,3,"99.7"
"NWE",83,"Jakobi Meyers",25,"WR",126,866,2,3,"81"
"CIN",81,"Ja'Marr Chase*",21,"WR",128,1455,13,6,"116.5"
"CHI",81,"Darnell Mooney",24,"WR",140,1055,4,8,"67.4"
"DAL",79,"CeeDee Lamb*",22,"WR",120,1102,6,6,"91"
"ARI",77,"Christian Kirk",25,"WR",103,982,5,2,"112.2"
"WAS",77,"Terry McLaurin",26,"WR",130,1053,5,4,"85.2"
"SFO",77,"Deebo Samuel*+",25,"WR",121,1405,6,4,"106.2"
"SEA",75,"D.K. Metcalf",24,"WR",129,967,12,2,"106.3"
"2TM",74,"Zach Ertz",31,"TE",112,763,5,4,"85.5"
"JAX",73,"Marvin Jones",31,"WR",120,832,4,3,"82.4"
"DEN",68,"Noah Fant",24,"TE",90,670,4,0,"110.9"
"ATL",68,"Kyle Pitts*",21,"TE",110,1026,1,5,"76.6"
"PHI",64,"DeVonta Smith",23,"WR",104,916,5,1,"102.1"
"TEN",63,"A.J. Brown",24,"WR",105,869,5,2,"94.5"
"CLE",52,"Jarvis Landry",29,"WR",87,570,2,5,"62.9"
"NYJ",51,"Jamison Crowder",28,"WR",71,447,2,2,"85.8"
"NOR",47,"Alvin Kamara*",26,"RB",67,439,5,0,"112.7"
"NYG",46,"Evan Engram",27,"TE",73,408,3,2,"80.2"
"3TM",7,"Phillip Dorsett",28,"WR",14,110,0,0,"76.5"
