"Tm","Player","Pos","Age","Tgt","Rec","Yds","TD","Int","Rat"
"BUF","Stefon Diggs*+","WR",27,166,127,1535,8,2,"115.4"
"GNB","Davante Adams*+","WR",28,149,115,1374,18,3,"136"
"ARI","DeAndre Hopkins*","WR",28,160,115,1407,6,2,"105.9"
"LVR","Darren Waller*","TE",28,145,107,1196,9,3,"110"
"KAN","Travis Kelce*+","TE",31,145,105,1416,11,3,"119.8"
"CHI","Allen Robinson","WR",27,151,102,1250,6,5,"92.3"
"LAC","Keenan Allen*","WR",28,147,100,992,8,5,"90.9"
"SEA","Tyler Lockett","WR",28,132,100,1054,10,1,"120.6"
"CAR","Robbie Chosen","WR",27,136,95,1096,3,2,"95.1"
"DAL","Amari Cooper","WR",26,130,92,1114,5,4,"96.8"
"ATL","Calvin Ridley","WR",26,143,90,1374,9,5,"101"
"LAR","Robert Woods","WR",28,129,90,936,6,5,"89.8"
"MIN","Justin Jefferson*","WR",21,125,88,1400,7,4,"112.7"
"PIT","Diontae Johnson","WR",24,144,88,923,7,2,"90.1"
"WAS","Terry McLaurin","WR",25,134,87,1118,4,3,"91.6"
"NOR","Alvin Kamara*","RB",25,107,83,756,5,1,"107.8"
"HOU","Brandin Cooks","WR",27,119,81,1150,6,4,"101.9"
"CIN","Tyler Boyd","WR",26,110,79,841,4,4,"90.8"
"DET","Marvin Jones","WR",30,115,76,978,9,4,"104.2"
"CLE","Jarvis Landry","WR",28,101,72,840,3,1,"101.9"
"TEN","A.J. Brown*","WR",23,106,70,1075,11,2,"126.1"
"TAM","Mike Evans","WR",27,109,70,1006,13,2,"126"
"NYG","Evan Engram*","TE",26,109,63,654,1,6,"55.4"
"MIA","DeVante Parker","WR",27,103,63,793,4,2,"90"
"SFO","Brandon Aiyuk","WR",22,96,60,748,5,4,"86.6"
"NYJ","Jamison Crowder","WR",27,89,59,699,6,3,"98.5"
"NWE","Jakobi Meyers","WR",24,81,59,729,0,2,"90"
"BAL","Marquise Brown","WR",23,100,58,769,8,4,"92.5"
"IND","T.Y. Hilton","WR",31,93,56,762,5,3,"90.9"
"JAX","DJ Chark","WR",24,93,53,706,5,5,"76.7"
"PHI","Greg Ward","WR",25,79,53,419,6,2,"94.9"
"DEN","Jerry Jeudy","WR",21,113,52,856,3,6,"58.7"
"2TM","Kalen Ballage","RB",25,37,29,166,0,0,"85.4"
