"Tm","Tgt","Rec","Player","Age","Pos","Yds","TD","Ctch%"
"BUF",166,127,"Stefon Diggs*+",27,"WR",1535,8,"76.5%"
"GNB",149,115,"Davante Adams*+",28,"WR",1374,18,"77.2%"
"ARI",160,115,"DeAndre Hopkins*",28,"WR",1407,6,"71.9%"
"LVR",145,107,"Darren Waller*",28,"TE",1196,9,"73.8%"
"KAN",145,105,"Travis Kelce*+",31,"TE",1416,11,"72.4%"
"CHI",151,102,"Allen Robinson",27,"WR",1250,6,"67.5%"
"LAC",147,100,"Keenan Allen*",28,"WR",992,8,"68.0%"
"SEA",132,100,"Tyler Lockett",28,"WR",1054,10,"75.8%"
"CAR",136,95,"Robbie Chosen",27,"WR",1096,3,"69.9%"
"DAL",130,92,"Amari Cooper",26,"WR",1114,5,"70.8%"
"ATL",143,90,"Calvin Ridley",26,"WR",1374,9,"62.9%"
"LAR",129,90,"Robert Woods",28,"WR",936,6,"69.8%"
"MIN",125,88,"Justin Jefferson*",21,"WR",1400,7,"70.4%"
"PIT",144,88,"Diontae Johnson",24,"WR",923,7,"61.1%"
"WAS",134,87,"Terry McLaurin",25,"WR",1118,4,"64.9%"
"NOR",107,83,"Alvin Kamara*",25,"RB",756,5,"77.6%"
"HOU",119,81,"Brandin Cooks",27,"WR",1150,6,"68.1%"
"CIN",110,79,"Tyler Boyd",26,"WR",841,4,"71.8%"
"DET",115,76,"Marvin Jones",30,"WR",978,9,"66.1%"
"CLE",101,72,"Jarvis Landry",28,"WR",840,3,"71.3%"
"TEN",106,70,"A.J. Brown*",23,"WR",1075,11,"66.0%"
"TAM",109,70,"Mike Evans",27,"WR",1006,13,"64.2%"
"NYG",109,63,"Evan Engram*",26,"TE",654,1,"57.8%"
"MIA",103,63,"DeVante Parker",27,"WR",793,4,"61.2%"
"SFO",96,60,"Brandon Aiyuk",22,"WR",748,5,"62.5%"
"NYJ",89,59,"Jamison Crowder",27,"WR",699,6,"66.3%"
"NWE",81,59,"Jakobi Meyers",24,"WR",729,0,"72.8%"
"BAL",100,58,"Marquise Brown",23,"WR",769,8,"58.0%"
"IND",93,56,"T.Y. Hilton",31,"WR",762,5,"60.2%"
"JAX",93,53,"DJ Chark",24,"WR",706,5,"57.0%"
"PHI",79,53,"Greg Ward",25,"WR",419,6,"67.1%"
"DEN",113,52,"Jerry Jeudy",21,"WR",856,3,"46.0%"
"2TM",37,29,"Kalen Ballage",25,"RB",166,0,"78.4%"
